second,Volt,Volt2
-36.000E-06,-3.565027927E+00,-288.748879E-03
-35.000E-06,-3.565000027E+00,-288.750004E-03
-34.000E-06,-3.719973679E+00,-282.501067E-03
-33.000E-06,-3.565025602E+00,-282.500004E-03
-32.000E-06,-3.719975229E+00,-282.500004E-03
-31.000E-06,-3.720000029E+00,-288.749036E-03
-30.000E-06,-3.565023277E+00,-282.500942E-03
-29.000E-06,-3.719977554E+00,-282.500004E-03
-28.000E-06,-3.720000029E+00,-288.749129E-03
-27.000E-06,-3.720000029E+00,-288.750004E-03
-26.000E-06,-3.720000029E+00,-282.500817E-03
-25.000E-06,-3.720000029E+00,-282.500004E-03
-24.000E-06,-3.720000029E+00,-282.500004E-03
-23.000E-06,-3.720000029E+00,-282.500004E-03
-22.000E-06,-3.720000029E+00,-288.749317E-03
-21.000E-06,-3.874983755E+00,-282.500661E-03
-20.000E-06,-3.565031027E+00,-282.500004E-03
-19.000E-06,-3.719985304E+00,-282.500004E-03
-18.000E-06,-3.720000029E+00,-282.500004E-03
-17.000E-06,-3.720000029E+00,-282.500004E-03
-16.000E-06,-3.720000029E+00,-282.500004E-03
-15.000E-06,-3.720000029E+00,-282.500004E-03
-14.000E-06,-3.720000029E+00,-288.749567E-03
-13.000E-06,-3.720000029E+00,-282.500411E-03
-12.000E-06,-3.720000029E+00,-282.500004E-03
-11.000E-06,-3.720000029E+00,-288.749661E-03
-10.000E-06,-3.874992280E+00,-288.750004E-03
-9.000E-06,-3.565013977E+00,-288.750004E-03
-8.000E-06,-3.874987630E+00,-288.750004E-03
-7.000E-06,-3.720005454E+00,-282.500223E-03
-6.000E-06,-3.720000029E+00,-294.999630E-03
-5.000E-06,-3.720000029E+00,-282.500317E-03
-4.000E-06,-3.565003127E+00,-288.749879E-03
-3.000E-06,-3.719997704E+00,-282.500098E-03
-2.000E-06,-3.874998480E+00,-282.500004E-03
-1.000E-06,-3.720000804E+00,-282.500004E-03
+0.0E+00,-3.720000029E+00,-288.750004E-03
+1.000E-06,-3.720000029E+00,-282.500036E-03
+2.000E-06,-3.720000029E+00,-288.749942E-03
+3.000E-06,-3.720000029E+00,-282.500004E-03
+4.000E-06,-3.720000029E+00,-282.500004E-03
+5.000E-06,-3.720000029E+00,-282.500317E-03
+6.000E-06,-3.720004679E+00,-294.999817E-03
+7.000E-06,-3.875000030E+00,-288.749786E-03
+8.000E-06,-3.874993830E+00,-282.500004E-03
+9.000E-06,-3.720007004E+00,-282.500286E-03
+10.000E-06,-3.874992280E+00,-288.749692E-03
+11.000E-06,-3.720000029E+00,-282.500348E-03
+12.000E-06,-3.720009329E+00,-288.750004E-03
+13.000E-06,-3.874989955E+00,-288.749598E-03
+14.000E-06,-3.720000029E+00,-282.500442E-03
+15.000E-06,-3.720000029E+00,-288.750004E-03
+16.000E-06,-3.720000029E+00,-288.750004E-03
