second,Volt
+12.000E-06,+6.321875095E+00
+14.000E-06,+6.388281345E+00
+16.000E-06,+6.450781345E+00
+18.000E-06,+6.517187595E+00
+20.000E-06,+6.591406345E+00
+22.000E-06,+6.653906345E+00
+24.000E-06,+6.728125095E+00
+26.000E-06,+6.794531345E+00
+28.000E-06,+6.860937595E+00
+30.000E-06,+6.927343845E+00
+32.000E-06,+6.993750095E+00
+34.000E-06,+7.064062595E+00
+36.000E-06,+7.126562595E+00
+38.000E-06,+7.192968845E+00
+40.000E-06,+7.263281345E+00
+42.000E-06,+7.329687595E+00
+44.000E-06,+7.388281345E+00
+46.000E-06,+7.454687595E+00
+48.000E-06,+7.517187595E+00
+50.000E-06,+7.579687595E+00
+52.000E-06,+7.642187595E+00
+54.000E-06,+7.708593845E+00
+56.000E-06,+7.775000095E+00
+58.000E-06,+7.837500095E+00
+60.000E-06,+7.907812595E+00
+62.000E-06,+7.982031345E+00
+64.000E-06,+8.048437595E+00
+66.000E-06,+8.118750095E+00
+68.000E-06,+8.177343845E+00
+70.000E-06,+8.247656345E+00
+72.000E-06,+8.314062595E+00
+74.000E-06,+8.380468845E+00
+76.000E-06,+8.446875095E+00
+78.000E-06,+8.517187595E+00
+80.000E-06,+8.567968845E+00
+82.000E-06,+8.634375095E+00
+84.000E-06,+8.696875095E+00
+86.000E-06,+8.759375095E+00
+88.000E-06,+8.829687595E+00
+90.000E-06,+8.896093845E+00
+92.000E-06,+8.962500095E+00
+94.000E-06,+9.025000095E+00
+96.000E-06,+9.083593845E+00
+98.000E-06,+9.146093845E+00
+100.000E-06,+9.220312595E+00
+102.000E-06,+9.290625095E+00
+104.000E-06,+9.360937595E+00
+106.000E-06,+9.419531345E+00
+108.000E-06,+9.485937595E+00
+110.000E-06,+9.544531345E+00
+112.000E-06,+9.610937595E+00
+114.000E-06,+9.669531345E+00
+116.000E-06,+9.735937595E+00
+118.000E-06,+9.798437595E+00
+120.000E-06,+9.860937595E+00
+122.000E-06,+9.923437595E+00
+124.000E-06,+9.985937595E+00
+126.000E-06,+10.044531345E+00
+128.000E-06,+10.110937595E+00
+130.000E-06,+10.169531345E+00
+132.000E-06,+10.224218845E+00
+134.000E-06,+10.286718845E+00
+136.000E-06,+10.353125095E+00
+138.000E-06,+10.403906345E+00
+140.000E-06,+10.454687595E+00
+142.000E-06,+10.509375095E+00
+144.000E-06,+10.567968845E+00
+146.000E-06,+10.626562595E+00
+148.000E-06,+10.689062595E+00
+150.000E-06,+10.747656345E+00
+152.000E-06,+10.806250095E+00
+154.000E-06,+10.857031345E+00
